number,value,datetime_start,datetime_complete,duration,params_adaptive_alpha_pos,params_adaptive_lambda,params_k_pos_max,params_k_pos_min,params_m_pos_max,params_m_pos_min,params_zeta_pos,state
84,339.84144958283895,2026-05-04 19:55:33.846803,2026-05-04 19:56:01.901089,0 days 00:00:28.054286,5.19825758682418,91.03970680564638,1090.3679451853445,199.06450365952884,0.1900023397615182,0.05047037730889002,1.173534801102965,COMPLETE
85,361.40555723495766,2026-05-04 19:56:01.902177,2026-05-04 19:56:30.237914,0 days 00:00:28.335737,8.658370764377507,56.870047806752225,1512.5401051696265,122.48781778520767,0.13886076019098997,0.03115364913066669,1.195887197340757,COMPLETE
86,1000000000.0,2026-05-04 19:56:30.238825,2026-05-04 19:56:59.317125,0 days 00:00:29.078300,44.05687481975228,45.057254566049544,1820.6909685492324,141.52929395060974,0.19461998432347696,0.029300804203265977,0.7585812099693298,COMPLETE
87,322.74297677837865,2026-05-04 19:56:59.318174,2026-05-04 19:57:30.365008,0 days 00:00:31.046834,7.531577964120376,91.47603584702868,2314.442540549162,219.8800668521767,0.3541204688101511,0.09085977865614421,0.9618654310305021,COMPLETE
88,392.98102311811954,2026-05-04 19:57:30.366041,2026-05-04 19:58:01.666938,0 days 00:00:31.300897,8.434299584715124,93.23322944051365,1401.1526940434874,238.01786153676306,0.29384737421937945,0.08346661949612093,0.8654344070610204,COMPLETE
89,393.47501640602303,2026-05-04 19:58:01.667844,2026-05-04 19:58:32.912077,0 days 00:00:31.244233,13.470373484701271,73.52646060227858,2838.4406108135763,322.39827800558163,0.31786517811876847,0.07695358041044408,1.1876102544392406,COMPLETE
90,389.6872439090563,2026-05-04 19:58:32.913200,2026-05-04 19:59:02.153104,0 days 00:00:29.239904,12.913634122405234,74.05332208393699,1143.0047818490498,101.18766798662655,0.14837183529181913,0.04210013030171275,1.1624072074422833,COMPLETE
91,1000000000.0,2026-05-04 19:59:02.154144,2026-05-04 19:59:33.261057,0 days 00:00:31.106913,18.532645079244705,93.50976269260737,1995.780823778978,125.93846386935601,0.34719889149376754,0.0969546307282985,0.9785370206498111,COMPLETE
92,385.66524167963223,2026-05-04 19:59:33.262223,2026-05-04 20:00:01.576001,0 days 00:00:28.313778,5.765834182639761,85.67807640888931,2318.2337547933075,220.9027971317004,0.3055175834271668,0.08838127953524168,0.8304511957706497,COMPLETE
93,1000000000.0,2026-05-04 20:00:01.576874,2026-05-04 20:00:47.639983,0 days 00:00:46.063109,9.972232807857678,92.33782522805927,2450.10620038163,283.1886415344048,0.38445300527405724,0.08879458688411906,0.9031837488111948,COMPLETE
